C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
146 |* iot Ser                          |** |15 41 33.0546906 +19 40 13.437985      |     ~   |4.563    |4.505    |     ~   |     ~   |A1V                  | 190 |   0
147 |* del02 Gru                        |LP?|22 29 45.4331493366 -43 44 57.187958530|7.38     |5.68     |4.11     |2.38     |0.79     |M4.5IIIa             |  79 |   0
148 |* m Car                            |V* |09 39 21.0112812689 -61 19 40.979181659|     ~   |4.432    |4.498    |     ~   |     ~   |B9IV/V               |  84 |   0
149 |* del Hya                          |** |08 37 39.3674727912 +05 42 13.635944028|     ~   |4.144    |4.131    |     ~   |4.12     |A0Vnn                | 133 |   0
150 |HD 172910                          |Y*O|18 44 19.3604882816 -35 38 31.158238101|3.97     |4.69     |4.87     |5.02     |5.18     |B2V                  |  99 |   0
151 |* bet Crv                          |PM*|12 34 23.2349224335 -23 23 48.336778328|4.17     |3.52     |2.64     |2.03     |1.59     |G5IIBa0.3            | 268 |   0
152 |* psi Oph                          |PM*|16 24 06.1777460190 -20 02 14.352188619|6.37     |5.53     |4.50     |3.72     |3.22     |K0-II-III            |  88 |   0
153 |* del03 Tau                        |a2*|04 25 29.3847186643 +17 55 40.463442784|     ~   |4.369    |4.298    |6.18     |4.24     |A2IV-Vs              | 423 |   0
154 |HD 47667                           |*  |06 39 16.7194330944 -14 08 44.742752700|     ~   |6.289    |4.812    |     ~   |     ~   |K2+IIIaCN0.5Ca1      |  75 |   0
155 |* q Tau                            |SB*|03 45 12.4999931614 +24 28 02.185543730|3.73     |4.19     |4.30     |4.30     |4.40     |B6IV                 | 282 |   0
156 |* N Vel                            |V* |09 31 13.3181527686 -57 02 03.755222030|     ~   |4.691    |3.139    |     ~   |     ~   |K5III                | 101 |   0
157 |* tet Aql                          |SB*|20 11 18.2866917111 -00 49 17.268937491|3.03     |3.15     |3.22     |3.29     |3.33     |B9.5III              | 203 |   1
158 |* zet Leo                          |V* |10 16 41.4151642435 +23 25 02.341160368|3.89     |3.72     |3.41     |3.09     |2.91     |F0IIIa               | 232 |   0
159 |* psi01 Ori                        |Be*|05 24 44.8273848312 +01 50 47.201915688|3.83     |4.76     |4.96     |5.04     |5.26     |B1Vn                 | 365 |   0
160 |* zet Ori                          |** |05 40 45.52666 -01 56 33.2649          |0.50     |1.56     |1.77     |1.85     |2.05     |O9.7Ib+B0III         | 368 |   0
161 |* pi.06 Ori                        |V* |04 58 32.9022894600 +01 42 50.448732336|     ~   |5.853    |4.459    |     ~   |     ~   |K2-IIb               | 139 |   0
162 |* rho Aql                          |PM*|20 14 16.6186826232 +15 11 51.386417088|     ~   |5.006    |4.946    |     ~   |     ~   |A1Va                 | 134 |   0
163 |* sig Sco                          |bC*|16 21 11.3157134 -25 35 34.051476      |2.32     |3.02     |2.89     |1.69     |1.58     |B1III+B1:V           | 889 |   0
164 |* gam01 Del                        |PM*|20 46 38.8610460432 +16 07 26.861778660|     ~   |5.53     |4.96     |3.6      |     ~   |F8V                  | 116 |   0
165 |HD 59890                           |*  |07 30 42.6019759200 -30 57 44.209928016|6.21     |5.58     |4.65     |3.98     |3.51     |G2Iab/b              |  66 |   0
166 |* d Boo                            |SB*|14 10 23.9334932664 +25 05 30.037020972|5.44     |5.37     |4.83     |4.39     |4.10     |F8V                  | 176 |   0
167 |* sig Hya                          |*  |08 38 45.4374492452 +03 20 29.166677783|6.91     |5.63     |4.43     |3.54     |2.98     |K1III                | 145 |   0
