C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
1463|* ome Eri                          |SB*|04 52 53.6693861092 -05 27 09.706754554|     ~   |4.64     |4.40     |     ~   |     ~   |A9IVn                |  75 |   0
1464|* gam Aql                          |*  |19 46 15.5789542266 +10 36 47.731401477|5.93     |4.23     |2.72     |1.65     |0.87     |K3II                 | 446 |   0
1465|* phi Aqr                          |SB*|23 14 19.3582404192 -06 02 56.423128812|7.64     |5.77     |4.22     |2.94     |1.86     |M1.5III              | 134 |   0
1466|* zet Sgr                          |** |19 02 36.73024 -29 52 48.2279          |     ~   |2.69     |2.59     |     ~   |     ~   |A2.5Va               | 178 |   0
1467|* kap Leo                          |** |09 24 39.2586717722 +26 10 56.367449863|7.00     |5.69     |4.46     |3.55     |2.92     |K2IIIb               | 145 |   0
1468|* ups Per                          |PM*|01 37 59.5580239328 +48 37 41.563066970|6.29     |4.85     |3.57     |2.61     |1.96     |K3-IIICN0.5          | 240 |   0
1469|* iot CMa                          |s*b|06 56 08.2245944314 -17 03 15.259069948|3.62     |4.297    |4.385    |6.40     |     ~   |B3Ib                 | 178 |   0
1470|HD 19275                           |PM*|03 11 56.2691616816 +74 23 37.169888028|     ~   |4.878    |4.834    |     ~   |     ~   |A2Vnn                |  58 |   0
1471|* eps Ind                          |PM*|22 03 21.6536261624 -56 47 09.522795714|     ~   |5.75     |4.69     |     ~   |     ~   |K5V                  | 585 |   0
1472|HD 93194                           |*  |10 44 06.9012455223 -63 57 39.869369989|4.03     |4.649    |4.789    |     ~   |     ~   |B3/5Vn               |  92 |   0
1473|* pi. CMa                          |PM*|06 55 37.4304387192 -20 08 11.388856308|     ~   |5.027    |4.664    |     ~   |     ~   |F1.5V                |  87 |   0
1474|* ups02 Hya                        |V* |10 05 07.4696107864 -13 03 52.655374811|4.22     |4.500    |4.588    |     ~   |     ~   |B8V                  |  87 |   0
1475|* ksi Peg                          |PM*|22 46 41.5798542334 +12 10 22.388860108|4.66     |4.69     |4.20     |3.73     |3.42     |F6V                  | 395 |   0
1476|* eta Nor                          |*  |16 03 12.8974905224 -49 13 46.905295622|     ~   |5.569    |4.643    |     ~   |     ~   |G8III                |  41 |   0
1477|* eps UMi                          |RS*|16 45 58.2436042536 +82 02 14.129823444|     ~   |5.109    |4.212    |     ~   |     ~   |G5III                | 213 |   0
1478|* ups Sco                          |*  |17 30 45.8371228 -37 17 44.928511      |1.64     |2.48     |2.65     |     ~   |     ~   |B2IV                 | 187 |   0
1479|* 11 Com                           |PM*|12 20 43.0257695904 +17 47 34.327512348|     ~   |5.74     |4.74     |     ~   |     ~   |G8+IIIFe-1           | 173 |   1
1480|* ome01 Aqr                        |PM*|23 39 47.0693895048 -14 13 19.753147128|     ~   |5.221    |4.977    |     ~   |     ~   |A7IV                 |  64 |   0
1481|* iot Cep                          |PM*|22 49 40.8174918750 +66 12 01.458192633|5.50     |4.60     |3.54     |2.69     |2.19     |K0-III               | 253 |   0
1482|* gam Vir                          |PM*|12 41 39.6282288151 -01 26 57.854228847|3.07     |3.10     |2.74     |2.45     |2.26     |F1-F2V               | 479 |   0
1483|* h Cen                            |SB*|13 53 12.5382897240 -31 55 39.430392240|4.04     |4.59     |4.73     |     ~   |     ~   |B5IVp                | 106 |   0
1484|* rho Peg                          |PM*|22 55 13.6688813304 +08 48 58.253256468|4.90     |4.90     |4.90     |4.86     |4.88     |A1V                  | 122 |   0
1485|* tau Pup                          |SB*|06 49 56.1691452909 -50 36 52.339311041|     ~   |4.13     |2.93     |     ~   |     ~   |K1III                | 114 |   0
1486|* del Pav                          |PM*|20 08 43.6088716052 -66 10 55.442769229|4.78     |4.32     |3.56     |2.95     |2.61     |G8IV                 | 407 |   0
1487|HD 82741                           |*  |09 35 03.8297521152 +39 37 17.373515520|     ~   |5.788    |4.800    |     ~   |     ~   |G9.5IIIbFe-1         | 107 |   0
1488|* psi Boo                          |PM*|15 04 26.7429595776 +26 56 51.533943828|7.12     |5.78     |4.55     |3.62     |2.97     |K2III                | 131 |   0
1489|HD 101570                          |*  |11 40 53.6337884256 -62 05 24.365478084|6.79     |6.00     |4.92     |     ~   |     ~   |G3Ib                 |  49 |   0
1490|* chi Cen                          |bC*|14 06 02.7680367867 -41 10 46.678474802|3.4      |4.155    |4.343    |     ~   |     ~   |B2V                  | 227 |   0
1491|* zet02 UMa                        |SB*|13 23 56.3219129760 +54 55 18.513775632|     ~   |4.05     |3.88     |     ~   |     ~   |kA1h(eA)mA7IV-V      | 187 |   0
1492|* tet Pyx                          |*  |09 21 29.5903106784 -25 57 55.586267712|8.36     |6.33     |4.72     |3.32     |2.24     |M0.5IIIBa0.5         |  71 |   0
1493|* g Gem                            |SB*|07 46 07.4484186384 +18 30 35.993172960|8.09     |6.33     |4.87     |3.72     |2.89     |K4III                | 179 |   0
1494|* eps Sco                          |PM*|16 50 09.8108127 -34 17 35.633735      |4.61     |3.45     |2.29     |1.43     |0.83     |K1III                | 225 |   0
1495|* lam Gru                          |PM*|22 06 06.8848137372 -39 32 36.070820047|     ~   |5.843    |4.458    |     ~   |     ~   |K3III                |  65 |   0
1496|* mu. Phe                          |*  |00 41 19.5713902706 -46 05 05.932907801|6.28     |5.56     |4.59     |3.84     |3.32     |G8III                |  71 |   0
1497|* ups Car                          |*  |09 47 06.12170 -65 04 19.2267          |     ~   |3.25     |2.99     |4.92     |     ~   |A9                   |  74 |   0
1498|* 54 Leo A                         |PM*|10 55 36.8013543552 +24 44 59.022329568|     ~   |4.478    |4.477    |6.04     |     ~   |A1V                  |  67 |   0
1499|* 57 Cyg                           |SB*|20 53 14.7587928897 +44 23 14.147866955|4.05     |4.63     |4.77     |4.84     |4.97     |B5V                  | 196 |   0
1500|* P Pup                            |** |07 49 14.2975995620 -46 22 23.518739728|2.92     |3.93     |4.11     |4.19     |4.36     |B0III                | 157 |   0
1501|* eta Tau                          |Be*|03 47 29.0765529 +24 06 18.488347      |2.44     |2.78     |2.87     |2.84     |2.88     |B7III                | 548 |   1
1502|* alf Crv                          |PM*|12 08 24.8172764085 -24 43 43.952148016|     ~   |4.33     |4.01     |     ~   |     ~   |F1V                  | 192 |   0
1503|* chi01 Hya                        |** |11 05 19.9025488416 -27 17 37.046751540|     ~   |5.281    |4.912    |6.50     |     ~   |F3IV/V               |  94 |   0
1504|* 46 Cet                           |*  |01 25 37.2394436400 -14 35 55.626569448|     ~   |6.138    |4.907    |     ~   |     ~   |K2+III-IIIbCN0.5     |  79 |   0
1505|* nu. Cas                          |V* |00 48 50.0214949536 +50 58 05.394457956|     ~   |4.789    |4.891    |     ~   |     ~   |B9III                |  61 |   0
1506|HD 85859                           |PM*|09 54 12.3168100872 -25 55 56.388156312|     ~   |6.11     |4.88     |     ~   |     ~   |K2+IIICN0.5          |  65 |   0
1507|* bet Ret                          |SB*|03 44 11.9814420749 -64 48 24.890875477|     ~   |4.968    |3.833    |     ~   |     ~   |K2-IIIb              | 118 |   0
1508|* iot Lep                          |** |05 12 17.9105854648 -11 52 08.763279736|3.95     |4.35     |4.45     |     ~   |     ~   |B7.5Vn               | 116 |   0
1509|* bet For                          |RG*|02 49 05.4189042528 -32 24 21.232006884|6.14     |5.45     |4.46     |3.70     |3.16     |G9IIIb               |  86 |   0
1510|* mu. Cep                          |s*r|21 43 30.4595558543 +58 46 48.165937434|8.85     |6.43     |4.08     |1.98     |0.22     |M2-Ia                | 684 |   1
1511|* 26 UMa                           |PM*|09 34 49.4308182562 +52 03 05.325184635|     ~   |4.501    |4.463    |     ~   |     ~   |A0Vn                 |  99 |   0
1512|* alf Hyi                          |PM*|01 58 46.1385834212 -61 34 11.359751511|3.33     |3.13     |2.84     |2.55     |2.39     |F0IV                 | 221 |   0
1513|* 2 Peg                            |*  |21 29 56.8944490492 +23 38 19.825028513|     ~   |6.088    |4.509    |     ~   |     ~   |M1+III               | 116 |   0
1514|* ome Sgr                          |SB*|19 55 50.3625499909 -26 17 57.693299065|     ~   |5.45     |4.70     |     ~   |     ~   |G5IV                 | 142 |   0
1515|* b02 Cyg                          |Be*|20 09 25.6190611128 +36 50 22.633958400|4.03     |4.80     |4.93     |     ~   |     ~   |B2.5Ve               | 274 |   0
1516|* zet01 UMa                        |SB*|13 23 55.5422805173 +54 55 31.295579890|2.11     |2.271    |2.220    |2.10     |2.12     |A1.5Vas              | 318 |   0
1517|* g Lup                            |PM*|15 41 11.3768069149 -44 39 40.341696305|     ~   |5.036    |4.633    |     ~   |     ~   |F4V                  | 209 |   0
1518|* 15 Eri                           |** |03 18 22.1101471484 -22 30 39.975423421|     ~   |5.783    |4.875    |     ~   |     ~   |K0III                |  62 |   0
1519|* bet Mus B                        |*  |12 46 16.9432954097 -68 06 28.351473688|     ~   |3.84     |4.00     |     ~   |     ~   |B3V                  |   2 |   0
1520|* b01 Car                          |bC*|08 56 58.4171817096 -59 13 45.615428400|3.97     |4.721    |4.895    |     ~   |     ~   |B2V                  |  88 |   0
1521|* d Lup A                          |*  |15 35 53.2483773576 -44 57 30.199256928|     ~   |4.521    |4.708    |     ~   |     ~   |~                    |   3 |   0
1522|* pi.02 Cyg                        |SB*|21 46 47.6097792927 +49 18 34.454260528|3.4      |4.11     |4.18     |     ~   |     ~   |B2.5III              | 178 |   0
1523|* I Pup                            |a2*|07 12 33.6251363845 -46 45 33.496585918|4.80     |4.81     |4.49     |4.17     |3.95     |F3VFe-1.0            | 143 |   0
1524|* eta Sgr                          |LP?|18 17 37.6371989461 -36 45 42.084592381|6.37     |4.67     |3.11     |1.55     |0.23     |M2III                | 146 |   0
1525|* ome And                          |** |01 27 39.3807155195 +45 24 24.065127426|5.25     |5.25     |4.83     |4.42     |4.19     |F4IV                 | 148 |   0
1526|* del CrA                          |PM*|19 08 20.9696916432 -40 29 48.112728468|     ~   |5.664    |4.571    |     ~   |     ~   |K1III                |  34 |   0
1527|* 89 Aqr                           |** |23 09 54.8895050583 -22 27 27.384861196|     ~   |5.50     |4.80     |     ~   |     ~   |G2III+A2V            |  90 |   0
1528|* del Ser A                        |dS*|15 34 48.1452516144 +10 32 19.880250288|     ~   |4.39     |4.14     |     ~   |     ~   |F0IV                 |  68 |   0
1529|* eta Mus                          |SB*|13 15 14.9353076188 -67 53 40.529009001|     ~   |4.687    |4.780    |     ~   |     ~   |B7III+B7III          | 111 |   1
1530|* mu. Mus                          |LP*|11 48 14.5351009584 -66 48 53.674602912|     ~   |6.282    |4.728    |     ~   |     ~   |K4III                |  31 |   0
1531|* q Car                            |LP*|10 17 04.9755364660 -61 19 56.296709026|     ~   |4.899    |3.350    |     ~   |     ~   |K2.5II               | 144 |   0
1532|* 10 Lac                           |** |22 39 15.6786372 +39 03 00.971152      |3.650    |4.670    |4.880    |4.98     |5.19     |O9V                  | 776 |   0
1533|* b03 Aqr                          |*  |23 33 16.6221708982 -20 54 52.182140526|     ~   |4.770    |4.758    |     ~   |     ~   |A0V                  |  42 |   0
1534|* psi And                          |** |23 46 02.0470343064 +46 25 12.986458896|     ~   |6.064    |4.966    |     ~   |     ~   |G3Ib-II              | 186 |   0
1535|* phi Vel                          |*  |09 56 51.7408489635 -54 34 04.037484123|2.81     |3.35     |3.45     |3.51     |3.59     |B5Ib                 | 131 |   0
1536|HD 115004                          |PM*|13 13 42.9416937024 +40 09 10.386106164|     ~   |5.99     |4.94     |     ~   |     ~   |G8.5IIICN0.5         |  95 |   0
1537|* nu. Aql                          |*  |19 26 31.0892580000 +00 20 18.854897820|5.71     |5.31     |4.72     |4.21     |3.77     |F2Ib                 | 139 |   0
1538|* 12 Vul                           |Be*|19 51 04.1083085616 +22 36 36.172997964|4.15     |4.84     |4.96     |4.98     |5.12     |B2.5Ve               | 188 |   0
1539|* bet Cet                          |PM*|00 43 35.37090 -17 59 11.7827          |3.90     |3.02     |2.01     |1.29     |0.78     |G9.5IIICH-1          | 535 |   1
1540|* c01 Aqr                          |** |23 06 40.8477196320 -23 44 34.764069372|     ~   |5.37     |4.47     |     ~   |     ~   |G6IIIb               |  56 |   0
1541|* zet Her A                        |*  |16 41 16.6074955805 +31 36 16.501962096|     ~   |3.52     |2.88     |     ~   |     ~   |~                    |  11 |   0
1542|* del02 Tau                        |PM*|04 24 05.7614531616 +17 26 38.871301956|5.07     |4.95     |4.80     |4.64     |4.57     |A2Vs                 | 253 |   0
1543|* alf02 Lib                        |SB*|14 50 52.71309 -16 02 30.3955          |2.99     |2.90     |2.75     |2.61     |2.57     |kA2hA5mA4IV-V        | 225 |   0
1544|* d Sco                            |PM*|16 18 17.8991603537 -28 36 50.471996469|     ~   |4.804    |4.782    |     ~   |     ~   |A1Va                 | 168 |   0
1545|* gam Cas                          |HXB|00 56 42.5310945 +60 43 00.264089      |1.18     |2.29     |2.39     |2.32     |2.40     |B0.5IVpe             |1237 |   0
1546|* sig Ara                          |*  |17 35 39.5913568261 -46 30 20.463850983|4.47     |4.56     |4.59     |4.60     |4.65     |A0V                  |  67 |   0
1547|* tau Psc                          |PM*|01 11 39.6171666936 +30 05 22.696564992|     ~   |5.605    |4.511    |     ~   |     ~   |K0.5IIIb             | 150 |   0
1548|* 50 Cas                           |*  |02 03 26.1084399681 +72 25 16.658815952|     ~   |3.953    |3.938    |     ~   |     ~   |A2V                  |  86 |   0
1549|* psi Phe                          |LP*|01 53 38.7393120868 -46 18 09.609378142|7.71     |6.00     |4.41     |2.68     |1.17     |M4III                | 115 |   0
1550|* gam UMa                          |Em*|11 53 49.8473166 +53 41 41.135025      |2.440    |2.450    |2.440    |2.44     |2.47     |A0V                  | 409 |   0
1551|* bet Pav                          |*  |20 44 57.4935921631 -66 12 11.561700749|     ~   |3.577    |3.408    |     ~   |     ~   |A7III                |  79 |   0
1552|* 23 Tau                           |Be*|03 46 19.5858871361 +23 56 54.092177220|3.70     |4.12     |4.18     |     ~   |4.16     |B6IV(e)              | 439 |   1
