C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:55:02

Vmag < 6 & otype = 'Star'
-------------------------

Number of objects : 5066

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
94  |* 9 Boo                            |RG*|13 56 34.1810272752 +27 29 31.493189040|8.160    |6.440    |5.000    |     ~   |     ~   |K3III                | 103 |   0
95  |V* V1022 Cas                       |SB*|23 57 08.4720606576 +55 42 20.539344420|     ~   |6.033    |5.561    |     ~   |     ~   |F6V                  |  77 |   0
96  |* 12 Sco A                         |** |16 12 16.0428278880 -28 25 02.224259076|     ~   |5.75     |5.80     |     ~   |     ~   |B9V                  |   4 |   0
97  |* o Per                            |*  |03 42 22.6459308614 +33 57 54.093701142|4.13     |4.912    |4.972    |     ~   |     ~   |B0.5V                | 310 |   0
98  |HD 98993                           |*  |11 23 12.6876726096 -36 09 53.176171464|     ~   |6.441    |4.991    |     ~   |     ~   |K4III                |  28 |   0
99  |HD 71115                           |*  |08 25 54.7670593176 +07 33 52.214573088|     ~   |6.051    |5.122    |     ~   |     ~   |G6III-IIIaFe-1.5     |  80 |   0
100 |* b Vel                            |V* |08 40 37.5712078616 -46 38 55.464392884|4.86     |4.52     |3.81     |3.16     |2.62     |F0Ia                 | 140 |   0
101 |* pi. And                          |SB*|00 36 52.8513216207 +33 43 09.636294654|3.65     |4.20     |4.36     |4.40     |4.52     |B5V                  | 206 |   0
102 |* del Oph                          |PM*|16 14 20.7390218758 -03 41 39.572826363|6.30     |4.34     |2.75     |1.46     |0.43     |M0.5III              | 372 |   0
103 |HD 163532                          |*  |17 56 47.7441029568 -04 04 54.557790672|     ~   |6.603    |5.439    |     ~   |     ~   |K2IIICNIb/II         |  41 |   0
104 |* eps Lib                          |SB*|15 24 11.8837924176 -10 19 20.203874400|     ~   |5.358    |4.920    |     ~   |     ~   |F4V                  | 153 |   0
105 |V* IW Vel                          |dS*|10 57 07.8469466904 -50 45 54.060790752|     ~   |6.061    |5.898    |     ~   |     ~   |A4V                  |  51 |   0
106 |* tet02 Cru                        |SB*|12 04 19.2200768232 -63 09 56.516665140|4.02     |4.613    |4.716    |     ~   |     ~   |B3V                  | 104 |   0
107 |* l Ori                            |** |06 17 06.6198800712 +09 56 32.614989288|     ~   |5.482    |5.386    |     ~   |     ~   |A2V                  |  99 |   0
108 |* eta And                          |SB*|00 57 12.4002792266 +23 25 03.540083245|6.05     |5.36     |4.42     |3.69     |3.21     |G8-III               | 195 |   0
109 |HD 36848                           |*  |05 32 51.4130143944 -38 30 48.130649928|     ~   |6.687    |5.456    |     ~   |     ~   |K2/3III              |  40 |   0
110 |* ksi02 Cet                        |*  |02 28 09.5570589539 +08 27 36.216809306|4.14     |4.25     |4.30     |4.29     |4.34     |B9III                | 346 |   0
111 |* pi. Men                          |PM*|05 37 09.8868446714 -80 28 08.834553264|     ~   |6.25     |5.67     |     ~   |     ~   |G0V                  | 361 |   1
112 |* tau CMa                          |SB*|07 18 42.4849951654 -24 57 15.700749738|3.26     |4.25     |4.40     |4.44     |4.62     |O9II                 | 432 |   0
113 |V* BD Phe                          |dS*|01 50 54.4352128992 -50 12 22.092503544|     ~   |6.080    |5.929    |     ~   |     ~   |F0VkA2mA2_lB         | 108 |   0
114 |HD 29065                           |PM*|04 34 11.7698900760 -08 58 12.919690308|     ~   |6.704    |5.229    |     ~   |     ~   |K3III                |  52 |   0
115 |* c Sgr                            |LP*|20 02 39.4805073281 -27 42 35.439647267|8.03     |6.23     |4.58     |2.71     |1.15     |M4.5III              |  77 |   0
116 |* eta Lep                          |PM*|05 56 24.2934904501 -14 10 03.718335613|4.05     |4.05     |3.72     |3.39     |3.23     |F2V                  | 348 |   0
117 |* mu. Cas                          |SB*|01 08 16.3029454473 +54 55 12.561201263|5.93     |5.86     |5.17     |4.55     |4.13     |G5Vb                 | 585 |   1
